code,city code,name
KCZ,KCZ,Kochi
KDI,KDI,Kendari
KEF,KEF,Keflavik
KEJ,KEJ,Kemorovo
KGD,KGD,Kaliningrad
KGI,KGI,Kalgoorlie
KGL,KGL,Kigali International
KGS,KGS,Kos
KHG,KHG,Kashi
KHH,KHH,Kaohsiung International
KHI,KHI,Jinnah International
KHN,KHN,Nanchang
KHS,KHS,Khasab
KHV,KHV,Novy
KIJ,KIJ,Niigata
KIM,KIM,Kimberley
KIN,KIN,Norman Manley International
KIS,KIS,Kisumu
KIV,KIV,Chisinau
KIX,OSA,Kansai International
KJA,KJA,Yemelyanovo
KKC,KKC,Khon Kaen
KKE,KKE,Kerikeri
KKJ,KKJ,Kitakyushu
KKN,KKN,Kirkenes
KKX,KKX,Kikai
KLO,KLO,Kalibo
KLR,KLR,Kalkmar
KLU,KLU,Klagenfurt(Aus-Afb)
KLV,KLV,Karlovy Vary
KLX,KLX,Kalamata
KMG,KMG,Wujiaba
KMI,KMI,Miyazaki
KMJ,KMJ,Kumamoto
KMQ,KOM,Kanazawa
KNU,KNU,Kanpur
KNX,KNX,Kununurra
KOA,KOA,Kona
KOE,KOE,Kupang
KOJ,KOJ,Kagoshima
KOW,KOW,Ganzhou
KPO,KPO,Pohang
KRK,KRK,Krakow
KRL,KRL,Korla
KRN,KRN,Kiruna
KRR,KRR,Krasnodar
KRS,KRS,Kristiansand Kjevik
KRT,KRT,Khartoum
KRY,KRY,Karamay
KSA,KSA,Kosrae
KSC,KSC,Kosice
KSH,KSH,Bakhtaran
KSU,KSU,Kristiansund
KSY,KSY,Kars
KTA,KTA,Karratha
KTM,KTM,Tribhuvan International
KTN,KTN,Ketchikan International
KTT,KTT,Kittila
KTW,KTW,Katowice
KUA,KUA,Kuantan
KUF,KUF,Samara
KUH,KUH,Kushiro
KUL,KUL,Kuala Lumpur International
KUM,KUM,Yakushima
KUN,KUN,Kaunas
KUO,KUO,Kuopio
KUT,KUT,Kutaisi
KUU,KUU,Kulu
KUV,KUV,Kunsan
KVA,KVA,Kavala
KVD,KVD,Ganja
KVG,KVG,Kavieng
KWA,KWA,Bucholz Aaf
KWE,KWE,Guiyang Longdongbao International
KWI,KWI,Kuwait International
KWJ,KWJ,Gwangju
KWL,KWL,Liangjiang
KYA,KYA,Konya
KZN,KZN,Kazan
KZR,KZR,Kutahya
LAD,LAD,Quatro de Fevereiro
LAE,NAD,Nadzab
LAN,LAN,Capital City
LAO,LAO,Laoag
LAP,GEN,La Paz
LAS,LAS,Mc Carran International
LAW,LAW,Lawton-Fort Sill Regional
LAX,LAX,Los Angeles International
LBA,LBA,Leeds Bradford
LBB,LBB,Lubbock International
LBD,LBD,Khudzhand
LBF,LBF,North Platte
LBJ,LBJ,Labuhan Bajo
LBL,LBL,Liberal
LBU,LBU,Labuan
LBV,LBV,Libreville Leon M Ba
LCA,LCA,Larnaca
LCE,LCE,Goloson International
LCG,LCG,La Coruna
LCH,LCH,Lake Charles Rgnl
LCX,LCX,Longyan
LCY,LON,City
LDB,LDB,Londrina
LDE,TAR,Tarbes
LDH,LDH,Lord Howe Island
LDU,LDU,Lahad Datu
LEB,LEB,Lebanon Municipal
LED,LED,Pulkovo
LEI,LEI,Almeria
LEJ,LEJ,Leipzig Halle
LEN,LEN,Leon
LEX,LEX,Lexington KY
LFT,LFT,Lafayette Rgnl
LFW,LFW,Lome Tokoin
LGA,NYC,La Guardia
LGB,LGB,Long Beach
LGK,PUL,Pulau
LGP,LGP,Legazpi
LGW,LON,Gatwick
LHE,LHE,Allama Iqbal International
LHR,LON,Heathrow
LHW,LHW,Lanzhou Zhongchuan
LIG,LIG,Bellegarde
LIH,LIH,Lihue
LIL,LIL,Lesquin
LIM,LIM,Jorge Chavez International
LIN,MIL,Linate
LIR,LIR,Liberia
LIS,LIS,Lisboa
LIT,LIT,Little Rock National Airport/Adams Field
LJG,LJG,Lijiang
LJU,LJU,Ljubljana
LKL,LKL,Lakselv
LKN,LKN,Leknes
LKO,LKO,Lucknow
LLA,LLA,Kallax
LLI,LLI,Lalibella
LLW,LLW,Lilongwe International
LMM,LMM,Los Mochis
LMP,LMP,Lampedusa
LMT,LMT,Klamath Falls
LNB,LNB,Lamen Bay
LNE,LNE,Lonorore
LNJ,LNJ,Lincang
LNK,LNK,Lincoln Muni
LNV,LNV,Londolovit
LNY,LNY,Lanai
LNZ,LNZ,Horsching International Airport (Aus - Afb)
LOD,LOD,Longana
LOO,LOO,Laghouat
LOP,LOP,Praya
LOS,LOS,Lagos Murtala Muhammed
LPA,LPA,Gran Canaria
LPB,LPB,El Alto International
LPI,LPI,Linkoeping
LPL,LPL,Liverpool
LPM,LPM,Lamap
LPP,LPP,Lappeenranta
LPQ,LPQ,Luang Prabang
LPT,LPT,Lampang
LRD,LRD,Laredo International
LRE,LRE,Longreach
LRM,LRM,La Romana
LRT,LRT,Lorient
LSC,LSC,La Serena
LSE,LSE,La Crosse Municipal
LST,LST,Launceston
LTN,LON,Luton
LTO,LTO,Loreto International
LUG,LUG,Lugano
LUH,LUH,Ludhiaha
LUM,LUM,Luxi
LUN,LUN,Lusaka International
LUQ,LUQ,San Luis
LUX,FIN,Luxemburg
LVI,LVI,Livingstone
LWB,LWB,Lewisburg
LWO,LWO,Lvov
LWS,LWS,Lewiston
LXA,LXA,Lhasa Gonggar
LXR,LXR,Luxor International
LYA,LYA,Luoyang
LYG,LYG,Lianyungang
LYH,LYH,Lynchburg
LYI,LYI,Linyi
LYR,LYR,Svalbard
LYS,LYS,Saint Exupery
LZC,LZC,Lazard Cardenas
LZH,LZH,Liuzhou
LZO,LZO,Luzhou
LZY,LZY,Nyingchi
MAA,MAA,Chennai International
MAB,MAB,Maraba
MAD,MAD,Barajas
MAF,MAF,Midland International
MAG,MAG,Madang
MAH,MAH,Menorca
MAJ,MAJ,Marshall Islands International
MAK,MAK,Malakal
MAM,MAM,General Servando Canales International
MAN,MAN,Manchester
MAO,MAO,Eduardo Gomes International
MAR,MAR,La Chinita International
MAS,MAS,Momote
MAZ,MAZ,Eugenio Maria De Hostos
MBA,MBA,Moi International
MBE,MBE,Monbetsu
MBJ,MBJ,Sangster International
MBS,SAG,Saginaw
MCE,MCE,Merced
MCI,MKC,Kansas City International
MCK,MCK,McCook
MCO,MCO,Orlando
MCP,MCP,Macapa
MCT,MCT,Seeb International
MCV,MCV,McArthur River Mine
MCW,MCW,Mason City
MCY,MCY,Maroochydore
MCZ,MCZ,Maceio
MDC,MDC,Sam Ratulangi
MDE,RNE,Jose Maria Cordova
MDG,MDG,Mudanjiang
MDI,MDI,Makurdi
MDL,MDL,Mandalay
MDQ,MDQ,Mar Del Plata
MDT,HAR,Harrisburg International
MDU,MDU,Mendi
MDW,CHI,Chicago Midway International
MDZ,MDZ,El Plumerillo
MED,PRI,Madinah
MEH,MEH,Mehamn
MEL,MEL,Tullamarine
MEM,MEM,Memphis International
MES,MES,Polonia
MEX,MEX,Licenciado Benito Juarez International
MFE,MCA,Mcallen
MFM,MFM,Macau
MFR,MFR,Rogue Valley International-Medford
MGA,MGA,Managua International
MGF,MGF,Maringa
MGM,MGM,Montgomery Regional
MGQ,MGQ,Mogadishu
MGT,MGT,Milingimbi
MGW,MGW,Morgantown
MHD,MSH,Mashhad International
MHH,MHH,Marsh Harbor
MHK,MHK,Manhattan
MHT,MHT,Manchester-Boston Regional
MHU,MHU,Mount Hotham
MIA,MIA,Miami International
MID,MID,Licenciado Manuel Crecencio Rejon International
MIG,MIG,Mianyang
MIR,MIR,Monastir
MIU,MIU,Maiduguri
MJF,MJF,Mosjoen
MJT,MJT,Mytilini
MJV,MJV,Murcia
MKE,MKE,General Mitchell International
MKG,MKG,Muskegon County
MKK,MOL,Molokai
MKQ,MKQ,Merauke
MKW,MKW,Manokwari
MKY,MKY,Mackay
MLA,MLA,Luqa
MLB,MLB,Melbourne International
MLE,MLE,Male International
MLG,MLG,Malang
MLI,MLI,Quad City International
MLM,MLM,General Francisco J Mujica
MLN,MLN,Melilla
MLU,MLU,Monroe Rgnl
MLX,MLX,Malatya
MMB,MMB,Memanbetsu
MME,MME,Teesside
MMH,MMH,Mammoth Lakes
MMK,MMK,Murmansk
MMX,MMX,Malmoe
MMY,MMY,Miyako
MNG,MNG,Maningrida
MNL,MNL,Ninoy Aquino International
MOB,MOB,Mobile Rgnl
MOC,MOC,Montes Claros
MOD,MOD,Modesto
MOL,ARO,Molde
MOT,MOT,Minot International
MOV,MOV,Moranbah
MPL,MPL,Mediterranee
MPM,MPM,Maputo
MPN,MPN,Mount Pleasant
MQL,MQL,Mildura
MQM,MQM,Mardin
MQN,MQN,Mo i Rana
MQT,MQT,Sawyer International
MQX,MQX,Makale
MRA,MRA,Misratah
MRS,MRS,Provence
MRU,PLA,Plaisance
MRV,MIN,Mineralnye Vody
MRY,MRY,Monterey
MRZ,MRZ,Moree
MSJ,MSJ,Misawa
MSL,MUS,Muscle Shoals
MSN,MSN,Dane Co Rgnl Truax Fld
MSO,MSO,Missoula International
MSP,MSP,Minneapolis St Paul International
MSQ,MSQ,Minsk International
MSR,MSR,Mus
MSS,MSS,Massena
MST,MST,Maastricht
MSY,MSY,Louis Armstrong New Orleans International
MTJ,MTJ,Montrose CO
MTR,MTR,Monteria
MTT,MTT,Minatitlan
MTV,MTV,Ablow
MTY,MTY,General Mariano Escobedo International
MUC,MUC,Munich
MVD,MVD,Carrasco International
MVY,VIN,Vineyard Haven MA
MWA,MWA,Williamson County Regional
MWF,MWF,Maewo Island
MWX,MWX,Muan
MXH,MXH,Moro
MXL,MXL,Mexicali
MXP,MXP,Milano
MXZ,MXZ,Meixian
MYD,MYD,Malindi
MYE,MYE,Miyakejima
MYJ,MYJ,Matsuyama
MYR,MYR,Myrtle Beach International
MYY,MYY,Miri
MZG,MZG,Makung
MZH,MZH,Merzifon
MZL,MZL,Manizales
MZR,MZR,Mazar-i-sharif
MZT,MZT,General Rafael Buelna International
MZV,MZV,Mulu
NAA,NAA,Narrabri
NAG,NAG,Nagpur
NAJ,NAJ,Nakhchivan
NAN,NDI,Nadi International
NAO,NAO,Nanchong
NAP,NAP,Naples
NAS,NAS,Nassau International
NAT,NAT,Augusto Severo
NAV,NAV,Nevsehir
NAY,BJS,Beijing Nanyuan
NBE,NBE,Enfidha
NBO,NBO,Jomo Kenyatta International
NCE,NCE,Côte d'Azur
NCL,NCL,Newcastle
NCY,NCY,Meythet
NDG,NDG,Qiqihar
NDJ,NDJ,Ndjamena
NDR,NDR,El Aroui
NEV,NEV,Charlestown
NGB,NIN,Ninbo
NGO,NGO,Chubu Centrair International
NGS,NGS,Nagasaki
NHA,NHA,Nhatrang
NIM,NIM,Diori Hamani
NJC,NJC,Nizhnevartovsk
NJF,NJF,Najaf
NKC,NKC,Nouakchott
NKG,NKG,Lu Kou
NLA,NLA,Ndola
NLD,NLD,Quetzalcoatl International
NLK,NLK,Norfolk Island
NLP,NLP,Nelspruit
NMM,MEI,Meridian Nas
NNG,NNG,Wuxu
NNY,NNY,Nanyang
NOC,NOC,Connaught
NOU,NOU,La Tontouta
NOZ,NOZ,Novokuznetsk
NPE,NPE,Napier
NPL,NPL,New Plymouth
NQN,NQN,Neuquen
NQY,NQY,Newquai
NRN,NRN,Weeze
NRT,TYO,Narita International
NSI,YAO,Yaounde Nsimalen International
NSK,NSK,Alykel
NSN,NSN,Nelson
NTE,NTE,Nantes Atlantique
NTG,NTG,Nantong
NTL,NTL,Newcastle
NTQ,NTQ,Wajima
NTU,NTU,Oceana
NUE,NUR,Nuernberg
NUS,NUS,Norsup
NUX,NUX,Novy Urengoy
NVA,NVA,Neiva
NVK,NVK,Narvik
NVT,NVT,Navegantes
NWI,NWI,Norwich
NYM,NYM,Nadym
NZH,NZH,Manzhouli
OAJ,OAJ,Jacksonville NC
OAK,OAK,Metropolitan Oakland International
OAX,OAX,Xoxocotlan International
OBO,OBO,Obihiro
ODS,ODS,Odessa
OGG,OGG,Kahului
OGN,OGN,Yonaguni Jima
OGS,OGS,Ogdensburg
OGX,OGX,Ouargla
OGZ,OGZ,Beslan
OHD,OHD,Ohrid
OHE,OHE,Mohe County
OIM,OIM,Oshima
OIT,OIT,Oita
OKA,OKA,Naha
OKC,OKC,Will Rogers World
OKE,OKE,Kagoshima Prefecture
OKI,OKI,Oki Island
OKJ,OKJ,Okayama
OLB,OLB,Olbia
OLP,OLP,Olympic Dam
OMA,OMA,Eppley Afld
OME,OME,Nome
OMR,OMR,Oradea
OMS,OMS,Omsk
ONJ,ONJ,Odate Noshiro
ONT,ONT,Ontario International
OOL,OOL,Coolangatta
OOM,OOM,Cooma
OPO,OPO,Porto
ORD,CHI,Chicago Ohare International
ORF,ORF,Norfolk International
ORK,ORK,Cork
ORN,ORN,Es Senia
ORY,PAR,Orly
OSD,OSD,Östersund
OSI,OSI,Osijek
OSL,OSL,Oslo Gardermoen
OSM,OSM,Mosul
OSR,OSR,Ostrava
OSS,OSS,Osh
OSY,OSY,Namsos
OTH,OTH,North Bend
OTP,BUH,Henri Coandă International
OTZ,OTZ,Ralph Wien Mem
OUA,OUA,Ouagadougou
OUD,OUD,Oujda
OUL,OUL,Oulu
OVB,OVB,Tolmachevo
OVD,AVI,Aviles
OWB,OWB,Owensboro
OXB,OXB,Bissau
OXR,OXN,Oxnard
OZH,OZH,Zaporozhye
OZZ,OZZ,Ouarzazate
PAD,PAD,Paderborn
PAH,PAH,Paducah
PAM,PFN,Tyndall Afb
PAP,TOU,Port-au-prince
PAT,PAT,Patina
PAZ,PAZ,Poza Rico
PBC,PBC,Hermanos Serdan International
PBI,PBI,Palm Beach International
PBJ,PBJ,Paama Island
PBM,ZAN,Zandery
PBO,PBO,Paraburdoo
PCL,PCL,Cap Fap David Avenzur Rengifo
PDG,PDG,Padang
PDL,PDL,Ponta Delgada
PDP,PDP,Punta del Este
PDS,PDS,Piedras Negras
PDV,PDV,Plovdiv
PDX,PWM,Portland International
PEE,PEE,Perm
PEI,PEI,Matecana
PEK,BJS,Capital
PEM,PEM,Padre Aldamiz
PEN,PEN,Penang International
PER,PER,Perth International
PEW,PEW,Peshawar
PFO,PFO,Paphos International
PGA,PGA,Page
PGF,PGF,Rivesaltes
PGK,PGK,Pangkal Pinang
PGV,PGV,Pitt-Greenville
PHC,PHC,Port Harcourt International
PHE,PHE,Port Hedland International
PHF,NNS,Newport News Williamsburg International
PHL,PHL,Philadelphia International
PHW,PHW,Phalaborwa
PHX,PHX,Phoenix Sky Harbor International
PIA,PIA,General Wayne A. Downing Peoria International
PIB,PIB,Hattiesburg/Laurel
PIH,PIH,Pocatello Regional
PIR,PIR,Pierre Regional
PIT,PIT,Pittsburgh International
PIU,PIU,Capitan Concha
PIX,PIX,Pico
PKB,PKB,Mid-Ohio Valley Regional
PKC,PKC,Petropavlovsk
PKU,PKU,Pekanbaru
PKY,PKY,Palangkaraya
PLM,PLM,Sultan Mahmud Badaruddin Ii
PLN,PLN,Pellston
PLO,PLO,Port Lincoln
PLQ,PLQ,Palanga
PLS,PLS,Providenciales
PLW,PLW,Palu
PLX,PLX,Semiplatinsk
PLZ,PLZ,Port Elizabeth
PMC,PMC,El Tepual International
PMI,PMI,Palma De Mallorca
PMO,PMO,Boccadifalco
PMR,PMR,Palmerston North
PMW,PMW,Palmas
PNA,PNA,Pamplona
PNE,PHL,Northeast Philadelphia
PNH,PHN,Phnom-penh
PNI,PNI,Pohnpei International
PNK,PNK,Pontianak
PNL,PNL,Pantelleria
PNQ,PNQ,Pune
PNR,PNE,Pointe Noire
PNS,PNS,Pensacola
PNT,PNT,Puerto Natales
PNZ,PNZ,Petrolina
POA,POA,Salgado Filho
POM,POM,Port Moresby Jacksons International
POP,POP,Gregorio Luperon International
POS,POS,Piarco
POZ,POZ,Poznan
PPB,PPB,President Prudente
PPG,PAG,Pago Pago
PPN,PPN,Popayan
PPP,PPP,Prosserpine
PPS,PPS,Puerto Princesa
PPT,PPT,Faa'a International
PQC,PQC,Phu Quoc
PQI,PQI,Northern Maine Rgnl At Presque Isle
PQQ,PQQ,Port Macquarie
PRC,PRC,Prescott
PRG,PRG,Ruzyne
PRN,PRN,Pristina
PSA,PSA,Pisa
PSC,PSC,Tri-Cities Airport (Washington)
PSD,PSD,Port Said
PSE,PSE,Mercedita
PSG,PSG,Petersburg James A. Johnson
PSO,PSO,Pasto
PSP,PSP,Palm Springs International
PSR,PSR,Pescara
PSS,PSS,Posadas
PTG,PTG,Polokwane
PTP,PTP,Le Raizet
PTY,PTY,Tocumen International
PUB,PUB,Pueblo
PUF,PUF,Pau Pyrenees
PUJ,PUJ,Punta Cana
PUQ,PUQ,Carlos Ibanez Del Campo International
PUS,GIM,Busan
PUW,PUW,Pullman
PUY,PUY,Pula
PVC,PVC,Provincetown
PVD,PVD,Theodore Francis Green State
PVG,SHA,Shanghai Pudong International
PVH,PVO,Governador Jorge Teixeira De Oliveira
PVK,PVK,Preveza
PVR,PVR,Licenciado Gustavo Diaz Ordaz International
PWM,PWM,Portland International Jetport
PWQ,PWQ,Pavlodar
PXM,PXM,Puerto Escondido
PXO,PXO,Porto Santo
PXU,PXU,Pleiku
PZB,PZB,Pietermaritzburg
QOW,QOW,Imo
QRO,QRO,Queretaro
QRW,QRW,Osubi
QSF,QSF,Setif
QSR,QSR,Salerno
RAB,TOK,Tokua
RAE,RAE,Arar
RAH,RAH,Rafha
RAI,RAI,"Praia, Santiago Island"
RAJ,RAJ,Rajkot
RAK,RAK,Marrakech
RAO,RAO,Ribeirao Preto
RAP,RAP,Rapid City Regional
RAR,AVA,Avarua
RBA,RBA,Sale
RBR,RBR,Rio Branco
RCB,RCB,Richard's Bay
RCH,RCH,Rio Hacha
RDD,RDD,Redding Municipal
RDM,RDM,Redmond-Bend
RDU,RAL,Raleigh-durham
RDZ,RDZ,Rodez
REC,REC,Guararapes
REG,REG,Reggio Calabria
REL,REL,Trelew
REP,REP,Siem-reap
RES,RES,Resistencia
REX,REX,Reynosa
RFD,RFD,Chicago Rockford International
RGL,RGL,Rio Gallegos
RGN,YAN,Yangon
RGS,RGS,Burgos
RHI,RHI,Rhinelander
RHO,RHO,Rhodos
RIC,RIC,Richmond International
RIS,RIS,Rishiri Island
RIW,RIW,Riverton WY
RIX,RIX,Riga International
RJA,RJA,Rajahmundry
RJK,RJK,Rijeka
RKD,RKD,Rockland
RKS,RKS,Rock Springs
RKV,REK,Reykjavik
RLG,RLG,Laage
RMA,RMA,Roma
RMF,RMF,Marsa Alam
RMI,RMI,Rimini
RMQ,TXG,Taichung
RNB,RNB,Ronneby
RNJ,RNJ,Yoron
RNN,RNN,Ronne
RNO,RNO,Reno Tahoe International
RNS,RNS,Rennes
ROA,ROA,Roanoke Regional
ROB,MLW,Monrovia Roberts International
ROC,RST,Greater Rochester International
ROK,ROK,Rockhampton
ROP,ROP,Rota International
ROR,BAB,Babelthuap
ROS,ROS,Rosario
ROT,ROT,Rotorua
ROV,ROV,Rostov
ROW,ROW,Roswell Industrial Air Center
RPR,RPR,Raipur
RRG,RRG,Rodriguez Island
RRS,RRS,Roros
RSU,RSU,Yeosu
RSW,FMY,Southwest Florida International
RTB,RTB,Roatan
RTM,RTM,Rotterdam The Hague
RUH,RUH,King Khaled International
RUN,RUN,St Denis Gillot
RUT,RUT,Rutland
RVK,RVK,Rørvik
RVN,RVN,Rovaniemi
RVT,RVT,Ravensthorpe
RXS,RXS,Roxas City
RZE,RZE,Rzeszow
SAF,SAF,Santa Fe
SAH,SAH,Sana'a International
SAL,SAL,Cuscatlán International
SAN,SAN,San Diego International Lindbergh Fld
SAP,SAP,La Mesa International
SAT,SAT,San Antonio International
SAV,SAV,Savannah Hilton Head International
SAW,IST,Sabiha Gökçen International
SBA,SBA,Santa Barbara Municipal
SBH,SBH,Gustavia
SBN,SBN,South Bend Regional
SBP,SBP,San Luis Obispo
SBW,SBW,Sibu
SBY,SBY,Salisbury
SBZ,SBZ,Sibiu
SCC,DEA,Deadhorse
SCE,SCE,State College Pennsylvania
SCL,SCL,Arturo Merino Benitez International
SCN,SCN,Saarbrucken
SCQ,SCQ,Santiago de Compostela
SCU,SCU,Santiago De Cuba
SCV,SCV,Suceava
SDE,SDE,Santiago Del Estero
SDF,SDF,Louisville International
SDJ,SDJ,Sendai
SDK,SDK,Sandakan
SDL,SDL,Sundsvall Harnosand
SDN,SDN,Sandane
SDQ,SDQ,Las Americas International
SDR,SDR,Santander
SDU,RIO,Santos Dumont
SEA,SEA,Seattle Tacoma International
SEZ,SEY,Mahe
SFA,SFA,Sfax
SFB,SFB,Sanford
SFG,SFG,St. Martin
SFN,SFN,Santa Fe
SFO,SFO,San Francisco International
SFT,SFT,Skelleftea
SGC,SGC,Surgut
SGF,SPI,Springfield-Branson National
SGN,SGN,Tansonnhat International
SGU,SAI,Saint George
SHA,SHA,Hongqiao International
SHB,SHB,Nakashibetsu
SHC,SHC,Shire Indasilase
SHD,SHD,Weyers Cave
SHE,SHE,Shenyang Taoxian International
SHJ,SHJ,Sharjah International
SHM,SHM,Nanki-shirahama
SHP,SHP,Qinhuangdao
SHR,SHR,Sheridan
SHV,SHV,Shreveport Rgnl
SHW,SHW,Sharurah
SIC,SIC,Sinop
SID,ACL,Amilcar Cabral International
SIN,SIN,Singapore Changi
SIP,SIP,Simferopol
SIT,SIT,Sitka Rocky Gutierrez
SJC,SJC,Norman Y. Mineta San Jose International
SJD,SJD,Los Cabos International
SJJ,SJJ,Sarajevo
SJO,SJO,Juan Santamaria International
SJP,SJP,Sao Jose Do Rio Preto
SJT,SJT,San Angelo Rgnl Mathis Fld
SJU,SJU,Luis Munoz Marin International
SJW,SJW,Shijiazhuang Zhengding International
SKB,ROB,Basse Terre
SKE,SKE,Skien
SKG,SKG,Makedonia
SKN,SKN,Stokmarknes
SKO,SKO,Sadiq Abubakar Iii International
SKP,SKP,Skopje
SKT,SKT,Sialkot
SLA,SLA,Salta
SLC,SLC,Salt Lake City International
SLH,SLH,Sola
SLK,SLK,Saranac Lake
SLL,SLL,Salalah
SLM,SLM,Salamanca
SLP,SLP,Ponciano Arriaga International
SLU,CST,George F L Charles
SLV,SLV,Shimla
SLW,SLW,Plan De Guadalupe International
SLZ,SLZ,Marechal Cunha Machado
SMF,SMF,Sacramento
SMI,SMI,Samos
SMR,SMR,Santa Marta
SMX,SMX,Santa Maria Public
SNA,JOH,Santa Ana
SNN,SNN,Shannon
SNU,SNU,Santa Clara
SOC,SOC,Solo City
SOF,SOF,Sofia
SOG,SOG,Sogndal
SOJ,SOJ,Sorkjosen
SON,SON,Santo
SOQ,SOQ,Sorong
SOW,SOW,Show Low
SPC,SPC,Santa Cruz De La Palma
SPI,SPI,Abraham Lincoln Capital
SPN,SPN,Saipan International
SPS,SPS,Sheppard Afb Wichita Falls Muni
SPU,SPU,Split
SRG,SRG,Semarang
SRQ,SAR,Sarasota
SSA,SSA,Deputado Luis Eduardo Magalhaes
SSB,SSB,Christiansted
SSG,SSG,Malabo
SSH,SSH,Sharm El Sheikh
SSJ,SSJ,Sandnessjoen
SSR,SSR,Pentecost Island
SSX,SSX,Samsun
STI,STI,Santiago
STL,STL,Lambert St Louis International
STM,STM,Santarem
STN,LON,Stansted
STR,STR,Stuttgart
STS,STS,Santa Rosa
STT,STT,Cyril E King
STV,STV,Surat
STW,STW,Stavropol
STX,STX,St. Croix Island
SUB,SUB,Juanda
SUF,SUF,Lamezia
SUJ,SUJ,Satu Mare
SUN,SUN,Hailey
SUV,NAU,Nausori
SUX,SUX,Sioux City
SVC,SVC,Silver City
SVG,SVG,Stavanger Sola
SVO,MOW,Sheremetyevo
SVQ,SEV,Sevilla
SVX,YEK,Yekaterinburg
SWA,WAI,Shantou
SWF,SWF,Stewart International
SWJ,SWJ,Malekula Island
SXB,SXB,Entzheim
SXF,BER,Schonefeld
SXM,PLB,Princess Juliana International
SXR,SXR,Srinagar
SXZ,SXZ,Siirt
SYD,SYD,Kingsford Smith International
SYM,SYM,Simao
SYO,SYO,Shonai
SYR,SYR,Syracuse Hancock International
SYX,SYX,Sanya Phoenix International
SYZ,SYZ,Shiraz Shahid Dastghaib International
SZG,SZG,Salzburg
SZX,SZX,Baoan
SZZ,SZZ,Szczecin
TAB,SCA,Scarborough
TAC,TAC,Tacloban
TAE,DAE,Taegu
TAG,TAG,Tagbilaran
TAH,TAH,Tanna
TAK,TAK,Takamatsu
TAM,TAM,Tampico
TAO,TAO,Liuting
TAP,TAP,Tapachula
TAS,TAS,Yuzhny
TAT,TAT,Poprad
TAY,TAY,Tartu
TBB,TBB,Tuy Hoa
TBG,TBG,Tabubil
TBN,TBN,Fort Leonardwood
TBP,TBP,Pedro Canga
TBS,TBS,Tbilisi
TBU,TBU,Fua Amotu International
TBZ,TBZ,Tabriz International
TCB,TCB,Treasure Cay
TCO,TCO,Tumaco
TCQ,TCQ,Coronel Fap Carlos Ciriani Santa Rosa
TCR,TCR,Thoothukudi
TCZ,TCZ,Tengchong
TDX,TDX,Trat
TEE,TEE,Tebessa
TEN,TEN,Tongren
TEQ,TEQ,Çorlu
TER,LAJ,Lajes (terceira Island)
TEX,TEX,Telluride
TFN,TCI,Tenerife Norte
TFS,TCI,Tenerife Sur
TGD,TGD,Podgorica
TGG,TGG,Kuala Terengganu
TGH,TGH,Tongoa Island
TGM,TGM,Tirgu Mures
TGO,TGO,Tongliao
TGR,TGR,Touggourt
TGU,TGU,Toncontin International
TGZ,TGZ,Francisco Sarabia
THE,THE,Teresina
THG,THG,Biloela
THR,TEH,Teheran
THS,THS,Sukhothai
TIA,TIA,Tirana
TID,TID,Tiaret
TIF,TIF,Taif
TIJ,TIJ,General Abelardo L Rodriguez International
TIM,TIM,Timika
TIN,TIN,Tindouf
TIP,TIP,Tripoli International
TIR,TIR,Tirupeti
TIV,TIV,Tivat
TIZ,TIZ,Tari
TJH,TJH,Toyooka
TJK,TJK,Tokat
TJM,TJM,Tyumen
TJQ,TJQ,Tanjung Pandan
TJU,TJU,Kulyab
TKG,TKG,Bandar Lampung-Sumatra Island
TKK,TKK,Chuuk International
TKN,TKN,Tokunoshima
TKS,TKS,Tokushima
TKU,TKU,Turku
TLC,TLC,Toluca
TLH,TLH,Tallahassee Rgnl
TLL,TLL,Lennart Meri Tallinn
TLM,TLM,Tlemcen
TLN,HYE,Hyeres
TLS,TLS,Blagnac
TLV,TEL,Tel-aviv
TMC,TMC,Waikabubak-Sumba Island
TMP,TMP,Tampere Pirkkala
TMR,TMR,Tamanrasset
TMS,SOT,Sao Tome
TMW,TMW,Tamworth
TMX,TMX,Timimoun
TNA,TNA,Jinan Yaoqiang International
TNE,TNE,Tanegashima
TNG,TAN,Tanger
TNJ,TNJ,Tanjung Pinang
TNR,TNR,Antananarivo Ivato
TOE,TOE,Tozeur
TOF,TOF,Tomsk
TOH,TOH,Loh/Linua
TOL,TOL,Toledo Express
TOS,TOS,Tromso
TOY,TOY,Toyama
TPA,TPA,Tampa International
TPE,TPE,Taiwan Taoyuan International
TPP,TPP,Tarapoto
TPQ,TPQ,Tepic
TPS,TPS,Trapani
TRC,TRC,Torreon International
TRD,TRD,Trondheim Vaernes
TRF,TRF,Sandefjord
TRG,TRG,Tauranga
TRI,TRI,Tri-Cities Regional
TRK,TRK,Taraken
TRN,TUR,Torino
TRR,TRR,Trinciomalee
TRS,RON,Ronchi De Legionari
TRU,TRU,Capitan Carlos Martinez De Pinillos
TRV,TRV,Thiruvananthapuram International
TRW,TRW,Tarawa
TRZ,TRZ,Tiruchirappalli
TSA,TPE,Sungshan
TSE,TSE,Tselinograd
TSJ,TSJ,Tsushima
TSN,TSN,Binhai
TSR,TSR,Giarmata
TSV,TSV,Townsville
TTE,TTE,Ternate
TTJ,TTJ,Tottori
TTU,TTU,Tetouan
TUC,TUC,Tucuman
