name,code,city_code,state_code,country_code
Donegal Airport,CFN,,IE-DL,IE
Dublin Airport,DUB,DUB,IE-D,IE
Inishmore Aerodrome,IOR,,IE-G,IE
Inisheer Aerodrome,INQ,,IE-G,IE
Kilkenny Airport,KKY,,IE-KK,IE
Ireland West Knock Airport,NOC,,IE-MO,IE
Kerry Airport,KIR,,IE-KY,IE
Letterkenny Airport,LTR,,IE-DL,IE
Inishmaan Aerodrome,IIA,,IE-G,IE
Shannon Airport,SNN,SNN,IE-CE,IE
Sligo Airport,SXL,,IE-SO,IE
Waterford Airport,WAT,,IE-WD,IE
Ejin Banner-Taolai Airport,EJN,,CN-15,CN
Aarhus Airport,AAR,AAR,DK-82,DK
Billund Airport,BLL,BLL,DK-83,DK
Copenhagen Kastrup Airport,CPH,CPH,DK-84,DK
Esbjerg Airport,EBJ,,DK-83,DK
Karup Airport,KRP,KRP,DK-82,DK
Læsø Airport,BYR,,DK-81,DK
Lolland Falster Maribo Airport,MRW,,DK-85,DK
Odense Airport,ODE,,DK-83,DK
Copenhagen Roskilde Airport,RKE,CPH,DK-85,DK
Bornholm Airport,RNN,,DK-84,DK
Sønderborg Airport,SGD,SGD,DK-83,DK
Sindal Airport,CNL,,DK-81,DK
Vojens Skrydstrup Airport,SKS,,DK-83,DK
Skive Airport,SQW,,DK-82,DK
Thisted Airport,TED,,DK-81,DK
Vagar Airport,FAE,,FO-U-A,FO
Stauning Airport,STA,,DK-82,DK
Aalborg Airport,AAL,AAL,DK-81,DK
Luxembourg-Findel International Airport,LUX,LUX,LU-L,LU
Ålesund Airport,AES,,NO-15,NO
Andøya Airport,ANX,,NO-18,NO
Alta Airport,ALF,,NO-20,NO
Førde Airport,FDE,,NO-14,NO
Brønnøysund Airport,BNN,,NO-18,NO
Bodø Airport,BOO,BOO,NO-18,NO
Bergen Airport Flesland,BGO,BGO,NO-12,NO
Båtsfjord Airport,BJF,,NO-20,NO
Berlevåg Airport,BVG,,NO-20,NO
Kristiansand Airport,KRS,KRS,NO-10,NO
Geilo Airport Dagali,DLD,,NO-06,NO
Bardufoss Airport,BDU,BDU,NO-19,NO
"Harstad/Narvik Airport, Evenes",EVE,EVE,NO-18,NO
"Oslo, Fornebu Airport",FBU,OSL,NO-03,NO
Leirin Airport,VDB,,NO-05,NO
Florø Airport,FRO,,NO-14,NO
Oslo Gardermoen Airport,OSL,OSL,NO-02,NO
Stafsberg Airport,HMR,,NO-04,NO
Haugesund Airport,HAU,HAU,NO-11,NO
Hammerfest Airport,HFT,,NO-20,NO
Hasvik Airport,HAA,,NO-20,NO
Valan Airport,HVG,,NO-20,NO
Kautokeino Air Base,QKX,,NO-20,NO
Kristiansund Airport (Kvernberget),KSU,,NO-15,NO
Gol Airport,GLL,,NO-06,NO
Kirkenes Airport (Høybuktmoen),KKN,,NO-20,NO
Lista Airport,FAN,,NO-10,NO
Leknes Airport,LKN,,NO-18,NO
Mehamn Airport,MEH,,NO-20,NO
Molde Airport,MOL,,NO-15,NO
Mosjøen Airport (Kjærstad),MJF,,NO-18,NO
Banak Airport,LKL,,NO-20,NO
Narvik Framnes Airport,NVK,,NO-18,NO
Namsos Høknesøra Airport,OSY,,NO-17,NO
Notodden Airport,NTB,,NO-08,NO
Ørland Airport,OLA,,NO-16,NO
"Ørsta-Volda Airport, Hovden",HOV,,NO-15,NO
"Mo i Rana Airport, Røssvoll",MQN,,NO-18,NO
"Rørvik Airport, Ryum",RVK,,NO-17,NO
Røros Airport,RRS,,NO-16,NO
Røst Airport,RET,,NO-18,NO
"Moss Airport, Rygge",RYG,,NO-01,NO
"Svalbard Airport, Longyear",LYR,,NO-21,NO
Sandane Airport (Anda),SDN,,NO-14,NO
Sogndal Airport,SOG,,NO-14,NO
Svolvær Helle Airport,SVJ,,NO-18,NO
Stokmarknes Skagen Airport,SKN,,NO-18,NO
Skien Airport,SKE,,NO-08,NO
Stord Airport,SRP,,NO-12,NO
Sørkjosen Airport,SOJ,,NO-19,NO
"Vardø Airport, Svartnes",VAW,,NO-20,NO
Sandnessjøen Airport (Stokka),SSJ,,NO-18,NO
Tromsø Airport,TOS,TOS,NO-19,NO
"Sandefjord Airport, Torp",TRF,,NO-07,NO
Trondheim Airport Værnes,TRD,TRD,NO-17,NO
Vadsø Airport,VDS,,NO-20,NO
Værøy Heliport,VRY,,NO-18,NO
"Stavanger Airport, Sola",SVG,SVG,NO-11,NO
Białystok-Krywlany Airport,QYY,,PL-PD,PL
Biała Podlaska Airport,BXP,,PL-LU,PL
Bydgoszcz Ignacy Jan Paderewski Airport,BZG,,PL-KP,PL
Częstochowa-Rudniki,CZW,,PL-SL,PL
Gdańsk Lech Wałęsa Airport,GDN,,PL-PM,PL
Gliwice Glider Airport,QLC,,PL-SL,PL
John Paul II International Airport Kraków-Balice Airport,KRK,,PL-MA,PL
Koszalin Zegrze Airport,OSZ,,PL-ZP,PL
Katowice International Airport,KTW,,PL-SL,PL
Bielsko-Bialo Kaniow Airfield,QEO,,PL-SL,PL
Łódź Władysław Reymont Airport,LCJ,,PL-LD,PL
Lublin Radwiec Airport,QLU,,PL-LU,PL
Modlin Airport,WMI,,PL-MZ,PL
Nowy Targ Airport,QWS,,PL-MA,PL
Oksywie Military Air Base,QYD,,PL-PM,PL
Opole-Polska Nowa Wieś Airport,QPM,,PL-OP,PL
Poznań-Ławica Airport,POZ,,PL-WP,PL
Rzeszów-Jasionka Airport,RZE,,PL-PK,PL
"Szczecin-Goleniów ""Solidarność"" Airport",SZZ,,PL-ZP,PL
Redzikowo Air Base,OSP,,PL-PM,PL
Szczytno-Szymany International Airport,SZY,,PL-WN,PL
Warsaw Chopin Airport,WAW,WAW,PL-MZ,PL
Copernicus Wrocław Airport,WRO,,PL-DS,PL
Zielona Góra-Babimost Airport,IEG,,PL-LB,PL
Erdenet Airport,ERT,,MN-035,MN
Ronneby Airport,RNB,,SE-K,SE
Hässleholm Bokeberg Airport,XWP,,SE-M,SE
Gothenburg-Landvetter Airport,GOT,GOT,SE-Q,SE
Jönköping Airport,JKG,JKG,SE-F,SE
Lidköping-Hovby Airport,LDK,,SE-Q,SE
Gothenburg City Airport,GSE,,SE-Q,SE
Skövde Airport,KVB,,SE-Q,SE
Trollhättan-Vänersborg Airport,THN,,SE-Q,SE
Karlskoga Airport,KSK,,SE-T,SE
Mora Airport,MXX,,SE-W,SE
Stockholm Skavsta Airport,NYO,,SE-D,SE
Kristianstad Airport,KID,,SE-M,SE
Oskarshamn Airport,OSK,,SE-H,SE
Kalmar Airport,KLR,,SE-H,SE
Malmö Sturup Airport,MMX,,SE-M,SE
Halmstad Airport,HAD,,SE-N,SE
Växjö Kronoberg Airport,VXO,VXO,SE-G,SE
Sveg Airport,EVG,,SE-Z,SE
Gällivare Airport,GEV,,SE-BD,SE
Hudiksvall Airport,HUV,,SE-X,SE
Kramfors Sollefteå Airport,KRF,,SE-Y,SE
Lycksele Airport,LYC,,SE-AC,SE
Sundsvall-Härnösand Airport,SDL,SDL,SE-Y,SE
Örnsköldsvik Airport,OER,,SE-Y,SE
Kiruna Airport,KRN,KRN,SE-BD,SE
Skellefteå Airport,SFT,,SE-AC,SE
Umeå Airport,UME,UME,SE-AC,SE
Vilhelmina Airport,VHM,,SE-AC,SE
Arvidsjaur Airport,AJR,,SE-BD,SE
Söderhamn Airport,SOO,,SE-X,SE
Åre Östersund Airport,OSD,,SE-Z,SE
Örebro Airport,ORB,ORB,SE-T,SE
Hagfors Airport,HFS,,SE-S,SE
Karlstad Airport,KSD,,SE-S,SE
Stockholm Västerås Airport,VST,VST,SE-U,SE
Luleå Airport,LLA,LLA,SE-BD,SE
Stockholm-Arlanda Airport,ARN,STO,SE-AB,SE
Stockholm-Bromma Airport,BMA,STO,SE-AB,SE
Borlange Airport,BLE,,SE-W,SE
Hultsfred Airport,HLF,,SE-H,SE
Gävle Sandviken Airport,GVX,,SE-X,SE
Linköping City Airport,LPI,,SE-E,SE
Norrköping Airport,NRK,NRK,SE-E,SE
Torsby Airport,TYF,,SE-S,SE
Eskilstuna Airport,EKT,,SE-D,SE
Visby Airport,VBY,,SE-I,SE
Västervik Airport,VVK,,SE-H,SE
Ängelholm-Helsingborg Airport,AGH,AGH,SE-M,SE
Storuman Airport,SQO,,SE-AC,SE
Idre Airport,IDB,,SE-W,SE
Pajala Airport,PJA,,SE-BD,SE
Hemavan Airport,HMV,,SE-AC,SE
Geladi Airport,GLC,,ET-SO,ET
Shire Inda Selassie Airport,SHC,,ET-TI,ET
Spangdahlem Air Base,SPM,,DE-RP,DE
Ramstein Air Base,RMS,,DE-RP,DE
Sembach Air Base,SEX,,DE-RP,DE
Bamberg-Breitenau Airport,ZCD,,DE-BY,DE
Celle Airport,ZCN,,DE-NI,DE
Rheine Bentlage Airport,ZPQ,,DE-NW,DE
Fritzlar Airport,FRZ,,DE-HE,DE
Hanau Army Air Field,ZNF,,DE-HE,DE
Heidelberg Army Heliport,HDB,,DE-BW,DE
Illesheim Air Base,ILH,,DE-BY,DE
Nordholz Naval Airbase,FCN,,DE-NI,DE
Geilenkirchen Airport,GKE,,DE-NW,DE
Rostock-Laage Airport,RLG,,DE-MV,DE
Nörvenich Air Base,QOE,,DE-NW,DE
Schleswig Airport,WBG,,DE-SH,DE
Neubrandenburg Airport,FNB,,DE-MV,DE
Wiesbaden Army Airfield,WIE,,DE-HE,DE
Fürstenfeldbruck Airport,FEL,,DE-BY,DE
Ingolstadt Manching Airport,IGS,,DE-BY,DE
Gütersloh Air Base,GUT,,DE-NW,DE
Brüggen Air Base,BGN,,DE-NW,DE
Daugavpils Intrenational Airport,DGP,,LV-DA,LV
Liepāja International Airport,LPX,,LV-LE,LV
Riga International Airport,RIX,RIX,LV-RIX,LV
Ventspils International Airport,VNT,,LV-VEN,LV
RAF Greenham Common,EWY,,GB-ENG,GB
Excursion Inlet Seaplane Base,EXI,,US-AK,US
Kaunas International Airport,KUN,,LT-KU,LT
Klaipėda Airport,KLJ,,LT-KL,LT
Palanga International Airport,PLQ,,LT-KL,LT
Panevėžys Air Base,PNV,,LT-PN,LT
Šiauliai International Airport,SQQ,,LT-SA,LT
Barysiai Airport,HLJ,,LT-SA,LT
Vilnius International Airport,VNO,VNO,LT-VL,LT
Ranger Municipal Airport,RGR,,US-TX,US
Alexander Bay Airport,ALJ,,ZA-NC,ZA
Aggeneys Airport,AGZ,,ZA-NC,ZA
Alldays Airport,ADY,,ZA-NP,ZA
Bisho Airport,BIY,,ZA-EC,ZA
Bram Fischer International Airport,BFN,BFN,ZA-FS,ZA
Bultfontein Airport,UTE,,ZA-FS,ZA
Cradock Airport,CDO,,ZA-EC,ZA
Cape Town International Airport,CPT,CPT,ZA-WC,ZA
Mubatuba Airport,DUK,,ZA-NL,ZA
Zulu Inyala Airport,PZL,,ZA-NL,ZA
Ben Schoeman Airport,ELS,ELS,ZA-EC,ZA
Empangeni Airport,EMG,,ZA-NL,ZA
Ellisras Matimba Airport,ELL,,ZA-NP,ZA
Ficksburg Sentraoes Airport,FCB,,ZA-FS,ZA
Grand Central Airport,GCJ,,ZA-GT,ZA
George Airport,GRJ,,ZA-WC,ZA
Giyani Airport,GIY,,ZA-NP,ZA
Rand Airport,QRA,,ZA-GT,ZA
Hluhluwe Airport,HLW,,ZA-NL,ZA
Harrismith Airport,HRS,,ZA-FS,ZA
Hoedspruit Air Force Base Airport,HDS,,ZA-NP,ZA
OR Tambo International Airport,JNB,JNB,ZA-GT,ZA
P C Pelser Airport,KXE,,ZA-NW,ZA
Kimberley Airport,KIM,KIM,ZA-NC,ZA
Kruger Mpumalanga International Airport,MQP,,ZA-MP,ZA
Komatipoort Airport,KOF,,ZA-MP,ZA
Johan Pienaar Airport,KMH,,ZA-NC,ZA
Kleinsee Airport,KLZ,,ZA-NC,ZA
Falcon State Airport,FAL,,US-TX,US
Lanseria Airport,HLA,,ZA-GT,ZA
Lime Acres Finsch Mine Airport,LMR,,ZA-NC,ZA
Londolozi Airport,LDZ,,ZA-NP,ZA
King Shaka International Airport,DUR,DUR,ZA-NL,ZA
Lusikisiki Airport,LUJ,,ZA-EC,ZA
Louis Trichardt Airport,LCD,,ZA-NP,ZA
Langebaanweg Airport,SDB,,ZA-WC,ZA
Ladysmith Airport,LAY,,ZA-NL,ZA
Malamala Airport,AAM,,ZA-NP,ZA
Margate Airport,MGH,,ZA-NL,ZA
Musina(Messina) Airport,MEZ,,ZA-NP,ZA
Mmabatho International Airport,MBD,,ZA-NW,ZA
Riverside Airport,LLE,,ZA-MP,ZA
Mossel Bay Airport,MZY,,ZA-WC,ZA
Mkuze Airport,MZQ,,ZA-NL,ZA
Newcastle Airport,NCS,,ZA-NL,ZA
Ngala Airport,NGL,,ZA-NP,ZA
Nelspruit Airport,NLP,,ZA-MP,ZA
Overberg Airport,OVG,,ZA-WC,ZA
Oudtshoorn Airport,OUH,,ZA-WC,ZA
Port Alfred Airport,AFD,,ZA-EC,ZA
Port Elizabeth Airport,PLZ,PLZ,ZA-EC,ZA
Plettenberg Bay Airport,PBZ,,ZA-WC,ZA
Hendrik Van Eck Airport,PHW,,ZA-NP,ZA
Port St Johns Airport,JOH,,ZA-EC,ZA
Prieska Airport,PRK,,ZA-NC,ZA
Pietermaritzburg Airport,PZB,,ZA-NL,ZA
Pilanesberg International Airport,NTY,,ZA-NW,ZA
Polokwane International Airport,PTG,,ZA-NP,ZA
Potchefstroom Airport,PCF,,ZA-NW,ZA
Queenstown Airport,UTW,,ZA-EC,ZA
Richards Bay Airport,RCB,,ZA-NL,ZA
Reivilo Airport,RVO,,ZA-NW,ZA
Robertson Airport,ROD,,ZA-WC,ZA
Springbok Airport,SBU,,ZA-NC,ZA
Secunda Airport,ZEC,,ZA-MP,ZA
Sabi Sabi Airport,GSS,,ZA-MP,ZA
Sishen Airport,SIS,,ZA-NC,ZA
Skukuza Airport,SZK,,ZA-MP,ZA
Thohoyandou Airport,THY,,ZA-NP,ZA
Thaba Nchu Tar Airport,TCU,,ZA-FS,ZA
Tzaneen Airport,LTA,,ZA-NP,ZA
Prince Mangosuthu Buthelezi Airport,ULD,,ZA-NL,ZA
Pierre Van Ryneveld Airport,UTN,,ZA-NC,ZA
K. D. Matanzima Airport,UTT,,ZA-EC,ZA
Vryburg Airport,VRU,,ZA-NW,ZA
Virginia Airport,VIR,,ZA-NL,ZA
Vredendal Airport,VRE,,ZA-WC,ZA
Vryheid Airport,VYD,,ZA-NL,ZA
Wonderboom Airport,PRY,,ZA-GT,ZA
Waterkloof Air Force Base,WKF,,ZA-GT,ZA
Francistown Airport,FRW,,BW-NE,BW
Ghanzi Airport,GNZ,,BW-GH,BW
Jwaneng Airport,JWA,,BW-SO,BW
Kasane Airport,BBK,,BW-NW,BW
Khwai River Lodge Airport,KHW,,BW-NW,BW
Lobatse Airport,LOQ,,BW-SE,BW
Maun Airport,MUB,,BW-NW,BW
Orapa Airport,ORP,,BW-CE,BW
Palapye Airport,QPH,,BW-CE,BW
Sir Seretse Khama International Airport,GBE,,BW-SE,BW
Sua Pan Airport,SXN,,BW-CE,BW
Selebi Phikwe Airport,PKW,,BW-CE,BW
Savuti Airport,SVT,,BW-NW,BW
Shakawe Airport,SWX,,BW-NW,BW
Limpopo Valley Airport,TLD,,BW-CE,BW
Tshabong Airport,TBY,,BW-KG,BW
Maya-Maya Airport,BZV,BZV,CG-12,CG
Djambala Airport,DJM,,CG-14,CG
Kindamba Airport,KNJ,,CG-12,CG
Lague Airport,LCO,,CG-14,CG
Mouyondzi Airport,MUY,,CG-11,CG
Sibiti Airport,SIB,,CG-2,CG
Yokangassi Airport,NKY,,CG-11,CG
Zanaga Airport,ANJ,,CG-2,CG
Mossendjo Airport,MSX,,CG-9,CG
Boundji Airport,BOE,,CG-8,CG
Ewo Airport,EWO,,CG-8,CG
Gamboma Airport,GMM,,CG-14,CG
Impfondo Airport,ION,,CG-7,CG
Kelle Airport,KEE,,CG-8,CG
Makoua Airport,MKJ,,CG-8,CG
Owando Airport,FTX,,CG-8,CG
Souanke Airport,SOE,,CG-13,CG
Betou Airport,BTB,,CG-7,CG
Ouesso Airport,OUE,,CG-13,CG
Makabana Airport,KMK,,CG-9,CG
Ngot Nzoungou Airport,DIS,,CG-9,CG
Pointe Noire Airport,PNR,PNR,CG-5,CG
Matsapha Airport,MTS,,SZ-MA,SZ
Fetlar Airport,FEA,,GB-SCT,GB
Carnot Airport,CRF,,CF-HS,CF
Bangui M'Poko International Airport,BGF,BGF,CF-MP,CF
Bangassou Airport,BGU,,CF-MB,CF
Birao Airport,IRO,,CF-VR,CF
Bossembélé Airport,BEM,,CF-MP,CF
Bambari Airport,BBY,,CF-UK,CF
N'Délé Airport,NDL,,CF-BB,CF
Bouar Airport,BOP,,CF-NM,CF
Bria Airport,BIV,,CF-HK,CF
Bossangoa Airport,BSN,,CF-AC,CF
Berbérati Airport,BBT,,CF-HS,CF
Ouadda Airport,ODA,,CF-HK,CF
Yalinga Airport,AIG,,CF-HK,CF
Zemio Airport,IMO,,CF-HM,CF
M'Boki Airport,MKI,,CF-HM,CF
Batangafo Airport,BTG,,CF-AC,CF
Gordil Airport,GDI,,CF-BB,CF
Bakouma Airport,BMF,,CF-MB,CF
Ouanda Djallé Airport,ODJ,,CF-VR,CF
Rafaï Airport,RFA,,CF-MB,CF
Bouca Airport,BCF,,CF-AC,CF
Bozoum Airport,BOZ,,CF-OP,CF
Francis E Warren Air Force Base,FEW,,US-WY,US
Annobón Airport,NBN,,GQ-AN,GQ
Bata Airport,BSG,,GQ-LI,GQ
Malabo Airport,SSG,,GQ-BN,GQ
RAF Ascension Island,ASI,,SH-AC,SH
Sir Seewoosagur Ramgoolam International Airport,MRU,MRU,MU-GP,MU
Sir Charles Gaetan Duval Airport,RRG,,MU-RO,MU
Finschhafen Airport,FIN,,PG-MPL,PG
Diego Garcia Naval Support Facility,NKW,,IO-U-A,IO
Nkongsamba Airport,NKS,,CM-LT,CM
Kribi Airport,KBI,,CM-SU,CM
Tiko Airport,TKC,,CM-SW,CM
Douala International Airport,DLA,DLA,CM-LT,CM
Mamfe Airport,MMF,,CM-SW,CM
Bali Airport,BLC,,CM-NW,CM
Kaélé Airport,KLE,,CM-EN,CM
Batouri Airport,OUR,,CM-ES,CM
Yagoua Airport,GXX,,CM-EN,CM
Salak Airport,MVR,,CM-EN,CM
Foumban Nkounja Airport,FOM,,CM-OU,CM
N'Gaoundéré Airport,NGE,,CM-AD,CM
Bertoua Airport,BTA,,CM-ES,CM
Garoua International Airport,GOU,GOU,CM-NO,CM
Dschang Airport,DSC,,CM-OU,CM
Bafoussam Airport,BFX,,CM-OU,CM
Bamenda Airport,BPC,,CM-NW,CM
Ebolowa Airport,EBW,,CM-SU,CM
Yaoundé Airport,YAO,,CM-CE,CM
Yaoundé Nsimalen International Airport,NSI,,CM-CE,CM
Mbala Airport,MMQ,,ZM-05,ZM
Chipata Airport,CIP,,ZM-03,ZM
Fort Lee Army Airfield,FLE,,US-VA,US
Jeki Airport,JEK,,ZM-09,ZM
Kalabo Airport,KLB,,ZM-01,ZM
Kaoma Airport,KMZ,,ZM-01,ZM
Kasama Airport,KAA,,ZM-05,ZM
Kasaba Bay Airport,ZKB,,ZM-05,ZM
Livingstone Airport,LVI,LVI,ZM-07,ZM
Lukulu Airport,LXU,,ZM-01,ZM
Lusaka International Airport,LUN,LUN,ZM-09,ZM
Mansa Airport,MNS,,ZM-04,ZM
Mfuwe Airport,MFU,,ZM-03,ZM
Mongu Airport,MNR,,ZM-01,ZM
Ngoma Airport,ZGM,,ZM-07,ZM
Simon Mwansa Kapwepwe International Airport,NLA,,ZM-08,ZM
Senanga Airport,SXG,,ZM-01,ZM
Southdowns Airport,KIW,,ZM-08,ZM
Sesheke Airport,SJQ,,ZM-01,ZM
Solwesi Airport,SLI,,ZM-06,ZM
Flat Airport,FLT,,US-AK,US
Zambezi Airport,BBZ,,ZM-06,ZM
Falalop Island Airport,ULI,,FM-YAP,FM
Prince Said Ibrahim International Airport,HAH,YVA,KM-G,KM
Mohéli Bandar Es Eslam Airport,NWA,,KM-M,KM
Iconi Airport,YVA,YVA,KM-G,KM
Ouani Airport,AJN,,KM-A,KM
Dzaoudzi Pamandzi International Airport,DZA,,YT-U-A,YT
Roland Garros Airport,RUN,RUN,RE-U-A,RE
Pierrefonds Airport,ZSE,,RE-U-A,RE
Malaimbandy Airport,WML,,MG-U,MG
Antsirabe Airport,ATJ,,MG-T,MG
Antsalova Airport,WAQ,,MG-M,MG
Mahanoro Airport,VVB,,MG-A,MG
Ivato Airport,TNR,TNR,MG-T,MG
Ankavandra Airport,JVA,,MG-U,MG
Belo sur Tsiribihina Airport,BMD,,MG-U,MG
Miandrivazo Airport,ZVA,,MG-U,MG
Maintirano Airport,MXT,,MG-M,MG
Atsinanana Airport,ILK,,MG-A,MG
Morafenobe Airport,TVA,,MG-M,MG
Sainte Marie Airport,SMS,,MG-A,MG
Toamasina Airport,TMM,,MG-A,MG
Tambohorano Airport,WTA,,MG-M,MG
Morondava Airport,MOQ,,MG-U,MG
Tsiroanomandidy Airport,WTS,,MG-T,MG
Vatomandry Airport,VAT,,MG-A,MG
Ambatondrazaka Airport,WAM,,MG-A,MG
Arrachart Airport,DIE,,MG-D,MG
Mananara Nord Airport,WMR,,MG-A,MG
Andapa Airport,ZWA,,MG-D,MG
Ambilobe Airport,AMB,,MG-D,MG
Avaratra Airport,WBD,,MG-M,MG
Port Bergé Airport,WPB,,MG-M,MG
Antsirabato Airport,ANM,,MG-D,MG
Ambanja Airport,IVA,,MG-D,MG
Analalava Airport,HVA,,MG-M,MG
Amborovy Airport,MJN,,MG-M,MG
Fascene Airport,NOS,,MG-D,MG
Soalala Airport,DWB,,MG-M,MG
Mampikony Airport,WMP,,MG-M,MG
Besalampy Airport,BPY,,MG-M,MG
Maroantsetra Airport,WMN,,MG-A,MG
Sambava Airport,SVB,,MG-D,MG
Tsaratanana Airport,TTS,,MG-M,MG
Vohimarina Airport,VOH,,MG-D,MG
Ambalabe Airport,WAI,,MG-M,MG
Mandritsara Airport,WMA,,MG-M,MG
Antsoa Airport,WBO,,MG-U,MG
Mandabe Airport,WMD,,MG-U,MG
Tôlanaro Airport,FTU,,MG-U,MG
Fianarantsoa Airport,WFI,,MG-F,MG
Farafangana Airport,RVA,,MG-F,MG
Ihosy Airport,IHO,,MG-F,MG
Manja Airport,MJA,,MG-U,MG
Manakara Airport,WVK,,MG-F,MG
Bekily Airport,OVA,,MG-U,MG
Mananjary Airport,MNJ,,MG-F,MG
Samangoky Airport,TDV,,MG-U,MG
Morombe Airport,MXM,,MG-U,MG
Toliara Airport,TLE,,MG-U,MG
Vangaindrano Airport,VND,,MG-F,MG
Betioky Airport,BKU,,MG-U,MG
Ampanihy Airport,AMP,,MG-U,MG
Ankazoabo Airport,WAK,,MG-U,MG
Ambriz Airport,AZZ,,AO-BGO,AO
Mbanza Congo Airport,SSY,,AO-ZAI,AO
Benguela Airport,BUG,,AO-BGU,AO
Cabinda Airport,CAB,,AO-CAB,AO
Cafunfo Airport,CFF,,AO-LNO,AO
Chitato Airport,PGI,,AO-LNO,AO
Catumbela Airport,CBT,,AO-BGU,AO
Cuito Cuanavale Airport,CTI,,AO-CCU,AO
Camaxilo Airport,CXM,,AO-LNO,AO
Cazombo Airport,CAV,,AO-MOX,AO
Dundo Airport,DUE,,AO-LNO,AO
Fane Airport,FNE,,PG-CPM,PG
Ngjiva Pereira Airport,VPE,,AO-CNN,AO
Nova Lisboa Airport,NOV,,AO-HUA,AO
Kuito Airport,SVP,,AO-BIE,AO
Lucapa Airport,LBZ,,AO-LNO,AO
Quatro de Fevereiro Airport,LAD,LAD,AO-LUA,AO
Luzamba Airport,LZM,,AO-LNO,AO
Malanje Airport,MEG,,AO-MAL,AO
Menongue Airport,SPP,,AO-CCU,AO
Namibe Airport,MSZ,,AO-NAM,AO
Negage Airport,GXG,,AO-UIG,AO
Porto Amboim Airport,PBN,,AO-CUS,AO
Saurimo Airport,VHC,,AO-LSU,AO
Soyo Airport,SZA,,AO-ZAI,AO
Sumbe Airport,NDD,,AO-CUS,AO
Luau Airport,UAL,,AO-MOX,AO
Lubango Airport,SDD,,AO-HUI,AO
Luena Airport,LUO,,AO-MOX,AO
Uige Airport,UGO,,AO-UIG,AO
Waco Kungo Airport,CEO,,AO-CUS,AO
Xangongo Airport,XGN,,AO-CNN,AO
N'zeto Airport,ARZ,,AO-ZAI,AO
Nzagi Airport,NZA,,AO-LNO,AO
Booue Airport,BGB,,GA-6,GA
Ndende Airport,KDN,,GA-4,GA
Fougamou Airport,FOU,,GA-4,GA
M'Bigou Airport,MBC,,GA-4,GA
Moabi Airport,MGX,,GA-5,GA
Ville Airport,KDJ,,GA-3,GA
Koulamoutou Mabimbi Airport,KOU,,GA-7,GA
Mouilla Ville Airport,MJL,,GA-4,GA
Oyem Airport,OYE,,GA-9,GA
Okondja Airport,OKN,,GA-2,GA
Lambarene Airport,LBQ,,GA-3,GA
Minvoul Airport,MVX,,GA-9,GA
Bitam Airport,BMM,,GA-9,GA
Moanda Airport,MFF,,GA-2,GA
Mekambo Airport,MKB,,GA-6,GA
Port Gentil Airport,POG,POG,GA-8,GA
Omboue Hopital Airport,OMB,,GA-8,GA
Tchongorove Airport,IGE,,GA-8,GA
Makokou Airport,MKU,,GA-6,GA
Libreville Leon M'ba International Airport,LBV,LBV,GA-1,GA
Mitzic Airport,MZC,,GA-9,GA
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,,GA-2,GA
Lastourville Airport,LTL,,GA-7,GA
Sette Cama Airport,ZKM,,GA-8,GA
Tchibanga Airport,TCH,,GA-5,GA
Mayumba Airport,MYB,,GA-5,GA
Foya Airport,FOY,,LR-LO,LR
Principe Airport,PCP,,ST-P,ST
São Tomé International Airport,TMS,TMS,ST-S,ST
Angoche Airport,ANO,,MZ-N,MZ
Beira Airport,BEW,BEW,MZ-S,MZ
Cuamba Airport,FXO,,MZ-A,MZ
Chimoio Airport,VPY,,MZ-B,MZ
Inhaca Airport,IHC,,MZ-L,MZ
Inhambane Airport,INH,,MZ-I,MZ
Lichinga Airport,VXC,,MZ-A,MZ
Lumbo Airport,LFB,,MZ-N,MZ
Maputo Airport,MPM,MPM,MZ-MPM,MZ
Mueda Airport,MUD,,MZ-P,MZ
Mocímboa da Praia Airport,MZB,,MZ-P,MZ
Nacala Airport,MNC,,MZ-N,MZ
Nampula Airport,APL,,MZ-N,MZ
Pemba Airport,POL,,MZ-P,MZ
Ponta do Ouro Airport,PDD,,MZ-L,MZ
Quelimane Airport,UEL,,MZ-Q,MZ
Chingozi Airport,TET,,MZ-T,MZ
Vilankulo Airport,VNX,,MZ-I,MZ
Xai-Xai Airport,VJB,,MZ-G,MZ
Croisette Heliport,JCA,,FR-U,FR
Desroches Airport,DES,,SC-15,SC
Seychelles International Airport,SEZ,SEZ,SC-20,SC
Fossil Downs Airport,FSL,,AU-WA,AU
Haley Army Airfield,FSN,,US-IL,US
Praslin Airport,PRI,,SC-14,SC
Bird Island Airport,BDI,,SC-15,SC
Denis Island Airport,DEI,,SC-15,SC
Frégate Island Airport,FRK,,SC-15,SC
Sarh Airport,SRH,,TD-MC,TD
Bongor Airport,OGR,,TD-MK,TD
Abeche Airport,AEH,,TD-OD,TD
Moundou Airport,MQQ,,TD-LO,TD
Lai Airport,LTC,,TD-TA,TD
Ati Airport,ATV,,TD-BA,TD
N'Djamena International Airport,NDJ,NDJ,TD-CB,TD
Bokoro Airport,BKR,,TD-CB,TD
Bol Airport,OTC,,TD-LC,TD
Mongo Airport,MVO,,TD-GR,TD
Am Timan Airport,AMC,,TD-SA,TD
Pala Airport,PLF,,TD-MK,TD
Bousso Airport,OUT,,TD-CB,TD
